code,name
'252670,KODEX 200선물인버스2X
'122630,KODEX 레버리지
'096530,씨젠
'005930,삼성전자
'091990,셀트리온헬스케어
'069500,KODEX 200
'261220,KODEX WTI원유선물(H)
'000660,SK하이닉스
'032850,비트컴퓨터
'065450,빅텍
'530036,삼성 인버스 2X WTI원유 선물 ETN
'207940,삼성바이오로직스
'251340,KODEX 코스닥150선물인버스
'114800,KODEX 인버스
'180640,한진칼
'005380,현대차
'233740,KODEX 코스닥150 레버리지
'066700,테라젠이텍스
'005690,파미셀
'068270,셀트리온
'064350,현대로템
'025980,아난티
'006400,삼성SDI
'069620,대웅제약
'078130,국일제지
'019170,신풍제약
'253840,수젠텍
'000020,동화약품
'245620,EDGC
'051910,LG화학
'008600,윌비스
'015760,한국전력
'035720,카카오
'206640,바디텍메드
'278650,노터스
'035420,NAVER
'020560,아시아나항공
'011000,진원생명과학
'003000,부광약품
'009150,삼성전기
'130680,TIGER 원유선물Enhanced(H)
'059090,미코
'900250,크리스탈신소재
'079940,가비아
'051900,LG생활건강
'017670,SK텔레콤
'271050,KODEX WTI원유선물인버스(H)
'036570,엔씨소프트
'008350,남선알미늄
'086900,메디톡스
'053980,오상자이엘
'500019,신한 레버리지 WTI원유 선물 ETN(H)
'097230,한진중공업
'500027,신한 인버스 2X WTI원유 선물 ETN(H)
'198440,고려시멘트
'005490,POSCO
'068760,셀트리온제약
'005935,삼성전자우
'013810,스페코
'012330,현대모비스
'096770,SK이노베이션
'071200,인피니트헬스케어
'000270,기아차
'092040,아미코젠
'065170,넥스트BT
'026890,디피씨
'003410,쌍용양회
'044960,이글벳
'036540,SFA반도체
'043910,자연과환경
'097780,에스맥
'052670,제일바이오
'131370,알서포트
'000720,현대건설
'061250,화일약품
'032500,케이엠더블유
'105560,KB금융
'102940,코오롱생명과학
'007390,네이처셀
'026150,특수건설
'108230,톱텍
'028300,에이치엘비
'004980,성신양회
'034730,SK
'046940,우원개발
'003090,대웅
'229200,KODEX 코스닥 150
'033230,인성정보
'003480,한진중공업홀딩스
'084650,랩지노믹스
'028260,삼성물산
'032640,LG유플러스
'003490,대한항공
'010950,S-Oil
'000210,대림산업
'001060,JW중외제약
'215600,신라젠
'008770,호텔신라
'004170,신세계
'122260,KOSEF 통안채1년
'031510,오스템
'009540,한국조선해양
'001260,남광토건
'336370,두산솔루스
'032620,유비케어
'055550,신한지주
'086790,하나금융지주
'017890,한국알콜
'001840,이화공영
'033780,KT&G
'066570,LG전자
'200780,비씨월드제약
'037950,엘컴텍
'090430,아모레퍼시픽
'272560,KBSTAR 단기국공채액티브
'017800,현대엘리베이
'000990,DB하이텍
'012690,모나리자
'032680,소프트센
'030200,KT
'011170,롯데케미칼
'047810,한국항공우주
'006390,한일현대시멘트
'263690,디알젬
'028100,동아지질
'205470,휴마시스
'011070,LG이노텍
'102110,TIGER 200
'253450,스튜디오드래곤
'084990,헬릭스미스
'095700,제넥신
'157450,TIGER 단기통안채
'252710,TIGER 200선물인버스2X
'088980,맥쿼리인프라
'023900,풍국주정
'041920,메디아나
'065950,웰크론
'230240,에치에프알
'200230,텔콘RF제약
'010140,삼성중공업
'012450,한화에어로스페이스
'038500,삼표시멘트
'064550,바이오니아
'034220,LG디스플레이
'032830,삼성생명
'018260,삼성에스디에스
'045390,대아티아이
'263700,케어랩스
'011790,SKC
'024110,기업은행
'080720,한국유니온제약
'039860,나노엔텍
'094940,푸른기술
'267850,아시아나IDT
'294140,레몬
'009730,코센
'078590,두올산업
'242040,나무기술
'020150,일진머티리얼즈
'290650,엘앤씨바이오
'247540,에코프로비엠
'011390,부산산업
'237690,에스티팜
'268600,셀리버리
'139260,TIGER 200 IT
'090350,노루페인트
'007110,일신석재
'019590,엠벤처투자
'251270,넷마블
'289080,SV인베스트먼트
'091590,남화토건
'000810,삼성화재
'034020,두산중공업
'033640,네패스
'196170,알테오젠
'028050,삼성엔지니어링
'241820,피씨엘
'258610,이더블유케이
'035250,강원랜드
'048530,인트론바이오
'073490,이노와이어리스
'139480,이마트
'271560,오리온
'235980,메드팩토
'214870,뉴지랩
'218410,RFHIC
'192650,드림텍
'004020,현대제철
'006650,대한유화
'041960,코미팜
'002320,한진
'006360,GS건설
'083550,케이엠
'260660,알리코제약
'041190,우리기술투자
'058110,멕아이씨에스
'278530,KODEX 200TR
'003670,포스코케미칼
'031430,신세계인터내셔날
'148020,KBSTAR 200
'009830,한화솔루션
'303030,지니틱스
'067160,아프리카TV
'316140,우리금융지주
'082270,젬백스
'010960,삼호개발
'102710,이엔에프테크놀로지
'183490,엔지켐생명과학
'012280,영화금속
'040910,아이씨디
'054780,키이스트
'084850,아이티엠반도체
'083790,크리스탈
'006280,녹십자
'279530,KODEX 고배당
'086280,현대글로비스
'019175,신풍제약우
'010820,퍼스텍
'285130,SK케미칼
'034230,파라다이스
'000100,유한양행
'024740,한일단조
'241560,두산밥캣
'010130,고려아연
'011320,유니크
'009420,한올바이오파마
'078930,GS
'035610,솔본
'017180,명문제약
'003550,LG
'097950,CJ제일제당
'060590,씨티씨바이오
'047820,초록뱀
'023410,유진기업
'018290,브이티지엠피
'046440,KG모빌리언스
'065530,전파기지국
'003060,에이프로젠제약
'010170,대한광통신
'069460,대호에이엘
'204320,만도
'013700,까뮤이앤씨
'228850,레이언스
'246690,TS인베스트먼트
'294870,HDC현대산업개발
